Date,Close
12/27/2018,73.67
12/28/2018,73.34
12/31/2018,74.14
1/2/2019,74.06
1/3/2019,72.75
1/4/2019,74.65
1/7/2019,75.72
1/8/2019,76.73
1/9/2019,76.59
1/10/2019,76.42
1/11/2019,76.04
1/14/2019,76.09
1/15/2019,77.88
1/16/2019,77.68
1/17/2019,79.13
1/18/2019,80.45
1/22/2019,80.75
1/23/2019,80.5
1/24/2019,80.44
1/25/2019,80.61
1/28/2019,80.32
1/29/2019,80.22
1/30/2019,81.28
1/31/2019,81.88
2/1/2019,81.51
2/4/2019,81.99
2/5/2019,82.86
2/6/2019,82.71
2/7/2019,82.39
2/8/2019,82.36
2/11/2019,83.68
2/12/2019,84.71
2/13/2019,85.4
2/14/2019,84.68
2/15/2019,85.38
2/19/2019,84.57
2/20/2019,84.84
2/21/2019,83.95
2/22/2019,84.76
2/25/2019,85.17
2/26/2019,85.8
2/27/2019,86.17
2/28/2019,85.73
3/1/2019,87.16
3/4/2019,85.64
3/5/2019,85.44
3/6/2019,85.13
3/7/2019,85.26
3/8/2019,84.8
3/11/2019,85.82
3/12/2019,85.43
3/13/2019,85.93
3/14/2019,86.87
3/15/2019,86.8
3/18/2019,87.82
3/19/2019,87.69
3/20/2019,86.69
3/21/2019,88.01
3/22/2019,82.19
3/25/2019,82.33
3/26/2019,83.38
3/27/2019,83.09
3/28/2019,84.04
3/29/2019,84.21
4/1/2019,85.23
4/2/2019,84.37
4/3/2019,84.47
4/4/2019,85.28
4/5/2019,85.4
4/8/2019,84.73
4/9/2019,84.28
4/10/2019,84.88
4/11/2019,85
4/12/2019,86.24
4/15/2019,86.83
4/16/2019,87.8
4/17/2019,88.73
4/18/2019,89.2
4/22/2019,87.36
4/23/2019,87.43
4/24/2019,88.39
4/25/2019,87.56
4/26/2019,88.31
4/29/2019,88.26
4/30/2019,87.83
5/1/2019,85.9
5/2/2019,85.27
5/3/2019,85.7
5/6/2019,83.57
5/7/2019,82.54
5/8/2019,82.77
5/9/2019,82.98
5/10/2019,83.95
