,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,mcd,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,McDonald's Corp,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,248.80,,+4.62,+1.89%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"185,915M",25.68,0.58,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,mcd,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Jul 13, 2021",235.66,237.47,235.20,236.17,"1,884,568"
,"Jul 14, 2021",237.03,239.05,236.64,237.13,"1,993,375"
,"Jul 15, 2021",236.59,237.39,234.92,236.88,"2,165,952"
,"Jul 16, 2021",237.79,237.88,234.38,234.75,"1,681,193"
,"Jul 19, 2021",232.51,233.32,226.42,229.26,"3,774,949"
,"Jul 20, 2021",230.65,235.52,230.21,234.27,"3,275,605"
,"Jul 21, 2021",235.98,238.11,235.22,235.93,"2,147,029"
,"Jul 22, 2021",235.65,239.69,235.16,238.67,"2,538,299"
,"Jul 23, 2021",240.13,245.05,239.60,242.96,"3,996,402"
,"Jul 26, 2021",242.00,244.57,241.60,243.98,"2,638,431"
,"Jul 27, 2021",244.17,247.05,244.06,246.35,"3,135,186"
,"Jul 28, 2021",242.50,243.80,239.35,241.78,"4,948,543"
,"Jul 29, 2021",243.32,245.20,242.98,244.02,"2,572,291"
,"Jul 30, 2021",243.85,245.41,242.21,242.71,"2,336,831"
,"Aug 2, 2021",244.24,244.68,239.69,240.10,"2,693,869"
,"Aug 3, 2021",239.56,239.95,235.25,236.95,"3,300,009"
,"Aug 4, 2021",236.45,236.60,233.05,234.83,"2,240,575"
,"Aug 5, 2021",235.74,236.81,234.34,236.42,"2,230,520"
,"Aug 6, 2021",236.68,237.14,235.67,236.26,"1,558,759"
,"Aug 9, 2021",235.79,236.07,234.03,234.68,"2,093,074"
,"Aug 10, 2021",235.10,235.10,233.24,233.45,"2,027,812"
,"Aug 11, 2021",234.19,235.94,233.75,235.55,"1,969,137"
,"Aug 12, 2021",236.00,236.76,235.05,236.67,"1,491,013"
,"Aug 13, 2021",236.79,239.00,236.27,238.82,"1,699,655"
,"Aug 16, 2021",239.00,241.05,238.56,240.97,"2,175,409"
,"Aug 17, 2021",240.35,240.84,238.21,240.28,"1,651,984"
,"Aug 18, 2021",239.44,239.76,237.78,238.08,"2,215,750"
,"Aug 19, 2021",236.68,238.12,236.07,237.23,"1,455,420"
,"Aug 20, 2021",236.96,239.39,236.32,238.49,"1,989,849"
,"Aug 23, 2021",239.46,240.07,237.99,239.66,"2,086,876"
,"Aug 24, 2021",240.39,240.39,238.32,238.43,"1,687,672"
,"Aug 25, 2021",237.93,239.60,237.84,238.83,"1,668,152"
,"Aug 26, 2021",238.79,238.92,235.92,236.95,"2,008,052"
,"Aug 27, 2021",237.43,238.37,236.37,237.48,"1,784,024"
,"Aug 30, 2021",237.34,237.76,235.86,236.59,"2,245,565"
,"Aug 31, 2021",235.75,237.73,234.67,237.46,"2,938,351"
,"Sep 1, 2021",237.88,239.04,237.21,238.15,"2,197,240"
,"Sep 2, 2021",239.20,239.95,238.38,239.87,"2,140,253"
